"","X","st","log.inv.age1","log.inv.prec.age1","agegrp","period","N_swabs","pop_offset_IPD","IPD_blurred","N_carr_blurred"
"241",241,"21",1.84865580227565,2.63447085930322,3,0,1077,4963.884,5,10
"242",242,"21",1.84865580227565,2.63447085930322,4,2,3329,4206.696,8,73
"243",243,"21",1.84865580227565,2.63447085930322,4,1,1918,2302.9794375,3,14
"244",244,"21",1.84865580227565,2.63447085930322,1,1,1918,1070.6159375,6,16
"245",245,"21",1.84865580227565,2.63447085930322,1,2,3329,1610.316,6,81
"246",246,"21",1.84865580227565,2.63447085930322,4,3,3259,1899.7218255,9,37
"247",247,"21",1.84865580227565,2.63447085930322,4,0,1077,2755.251,4,12
"248",248,"21",1.84865580227565,2.63447085930322,2,3,3259,2046.5561435,10,35
"249",249,"21",1.84865580227565,2.63447085930322,3,3,3259,2435.0243034,9,40
"250",250,"21",1.84865580227565,2.63447085930322,2,1,1918,3547.3925625,6,12
"251",251,"21",1.84865580227565,2.63447085930322,1,3,3259,682.89472565,4,33
"252",252,"21",1.84865580227565,2.63447085930322,2,0,1077,4685.025,3,15
"253",253,"21",1.84865580227565,2.63447085930322,1,0,1077,1559.511,5,11
"254",254,"21",1.84865580227565,2.63447085930322,3,1,1918,3693.6125,4,12
"255",255,"21",1.84865580227565,2.63447085930322,3,2,3329,5747.136,5,76
"256",256,"21",1.84865580227565,2.63447085930322,2,2,3329,5094.192,7,75
"257",257,"22F",2.36968571027356,13.5102076953097,1,0,1077,1559.511,8,29
"258",258,"22F",2.36968571027356,13.5102076953097,4,2,3329,4206.696,26,110
"259",259,"22F",2.36968571027356,13.5102076953097,1,1,1918,1070.6159375,9,61
"260",260,"22F",2.36968571027356,13.5102076953097,1,3,3259,682.89472565,11,96
"261",261,"22F",2.36968571027356,13.5102076953097,4,1,1918,2302.9794375,15,63
"262",262,"22F",2.36968571027356,13.5102076953097,4,3,3259,1899.7218255,16,99
"263",263,"22F",2.36968571027356,13.5102076953097,2,1,1918,3547.3925625,6,61
"264",264,"22F",2.36968571027356,13.5102076953097,2,2,3329,5094.192,10,109
"265",265,"22F",2.36968571027356,13.5102076953097,2,3,3259,2046.5561435,5,100
"266",266,"22F",2.36968571027356,13.5102076953097,3,3,3259,2435.0243034,6,99
"267",267,"22F",2.36968571027356,13.5102076953097,4,0,1077,2755.251,17,30
"268",268,"22F",2.36968571027356,13.5102076953097,1,2,3329,1610.316,8,112
"269",269,"22F",2.36968571027356,13.5102076953097,3,2,3329,5747.136,6,107
"270",270,"22F",2.36968571027356,13.5102076953097,2,0,1077,4685.025,5,29
"271",271,"22F",2.36968571027356,13.5102076953097,3,1,1918,3693.6125,8,66
"272",272,"22F",2.36968571027356,13.5102076953097,3,0,1077,4963.884,0,29
"273",273,"23A",1.3233625257057,1.05958752516457,3,2,3329,5747.136,3,77
"274",274,"23A",1.3233625257057,1.05958752516457,1,1,1918,1070.6159375,3,36
"275",275,"23A",1.3233625257057,1.05958752516457,2,2,3329,5094.192,7,81
"276",276,"23A",1.3233625257057,1.05958752516457,2,1,1918,3547.3925625,6,31
"277",277,"23A",1.3233625257057,1.05958752516457,1,3,3259,682.89472565,10,96
"278",278,"23A",1.3233625257057,1.05958752516457,4,2,3329,4206.696,7,84
"279",279,"23A",1.3233625257057,1.05958752516457,3,3,3259,2435.0243034,2,94
"280",280,"23A",1.3233625257057,1.05958752516457,2,3,3259,2046.5561435,6,94
